name,sr,bits,duration_s,integrated_lufs,lra_lu,true_peak_dbtp,sample_peak_dbfs,rms_db,crest_db,plr_db,psr_db,max_momentary,max_short_term,st_p50,st_p90,st_p99,st_spread,corr_mean,corr_min,corr_max,lowband_corr_mean,lowband_corr_min,mono_loss_lu,peak_count_l,peak_count_r,flat_factor,dc_offset,b20_60,b60_120,b120_250,b250_500,b500_1k,b1k_2k,b2k_4k,b4k_8k,b8k_16k,b16k_up,hf14_16,hf16_18,hf18_20,hf20_22
Cunami_-_Violet,44100,16,156.920454,-8.0,2.4,1.1,0.000265,-8.725324,8.7,9.1,7.9,-5.12,-6.76,-7.92,-7.12,-6.86,1.1,0.6713,-0.0583,1.0000,0.8013,-0.0634,0.3,19227,18049,14.391411,0.000190,-13.0,-13.2,-17.2,-20.8,-24.1,-26.1,-27.6,-27.6,-29.4,-44.6,-39.8,-44.8,-51.9,-62.5
10_outta_10_MASTER_32f,48000,32,180.320000,-70.0,0.0,0.0,-1.409239,-11.972794,10.6,70.0,8.2,-7.67,-8.21,-10.14,-8.73,-8.30,1.8,0.6712,-0.2700,0.9987,0.7834,-0.6978,-3.0,2,2,0.0,0.000009,-19.0,-17.4,-18.6,-20.8,-22.8,-25.4,-26.4,-27.4,-29.5,-39.6,-37.0,-40.2,-44.5,-50.7
All_the_Things_She_Said_Hardcore_Pop_1_MASTER_32f,48000,32,230.399979,-70.0,0.0,0.0,-1.403118,-11.792131,10.4,70.0,8.3,-7.35,-8.26,-9.73,-8.53,-8.35,1.4,0.5544,-0.7079,0.9869,0.5599,-0.7321,-3.0,2,2,0.0,-0.000004,-17.1,-17.6,-19.9,-21.6,-23.3,-25.6,-26.9,-26.6,-25.6,-36.8,-33.3,-37.0,-42.0,-49.2
Alles_ist_Deins__Hardcore_Pop_x_Mixall_MASTER_32f,48000,16,139.960000,-70.0,0.0,0.0,-12.697035,-25.953285,13.3,70.0,22.4,-21.26,-22.39,-23.63,-22.80,-22.52,1.1,0.5880,-0.4148,0.9732,0.7696,-0.4341,-3.0,2,2,0.0,0.000003,-32.0,-32.4,-33.9,-35.8,-36.3,-37.6,-38.7,-39.8,-40.6,-50.0,-48.1,-50.8,-54.4,-60.4
BUDI_JAK_1_17_05_MASTER_32f,44100,16,238.080000,-70.0,0.0,0.0,-11.204603,-23.198940,12.0,70.0,19.5,-18.34,-19.50,-20.43,-19.91,-19.60,0.8,0.6762,-0.2997,1.0000,0.7821,-0.4128,-3.0,2,2,0.0,-0.000002,-30.9,-30.3,-30.6,-30.8,-31.4,-34.6,-37.5,-38.3,-38.8,-49.9,-47.0,-50.5,-55.7,-65.2
Burak_Yagodda_Hardcore_Pop_1_MASTER_32f,48000,32,264.959979,-70.0,0.0,0.0,-1.404365,-11.912825,10.5,70.0,8.6,-7.34,-8.57,-9.81,-9.19,-8.77,1.0,0.4365,-0.7579,0.9661,0.6013,-0.8656,-3.0,2,2,0.0,0.000187,-17.6,-17.6,-20.6,-22.6,-22.5,-23.9,-24.6,-25.8,-28.3,-39.3,-36.4,-39.7,-44.2,-51.1
Chips_in_the_Oven_Hardcore_Pop_1_MASTER_32f,48000,32,173.159979,-70.0,0.0,0.0,-1.408616,-12.349221,10.9,70.0,8.6,-7.80,-8.60,-9.67,-9.16,-8.83,0.8,0.6701,-0.6425,0.9871,0.8148,-0.6131,-3.0,2,2,0.0,-0.000013,-19.1,-17.5,-20.1,-23.4,-23.5,-24.1,-24.6,-25.8,-27.8,-37.4,-35.4,-38.0,-41.9,-48.6
Ffav_Dish_Hardcore_Pop_2_MASTER_32f,48000,32,257.679979,-70.0,0.0,0.0,-1.395395,-11.216238,9.8,70.0,8.2,-7.77,-8.24,-10.21,-8.55,-8.32,1.9,0.7472,-0.4539,0.9992,0.8716,-0.7310,-3.0,2,2,0.0,-0.000008,-16.2,-16.1,-17.9,-22.4,-27.1,-29.7,-29.1,-28.2,-28.8,-39.2,-36.6,-39.7,-44.1,-51.0
Hit_It_From_The_Back_MASTER_32f,48000,32,185.560000,-70.0,0.0,0.0,-1.409212,-11.443446,10.0,70.0,8.5,-7.36,-8.53,-9.82,-8.73,-8.63,1.2,0.6872,-0.4916,0.9891,0.7724,-0.7403,-3.0,2,2,0.0,-0.000007,-16.7,-16.5,-18.3,-22.5,-25.4,-27.2,-27.1,-27.4,-28.6,-39.3,-36.6,-39.8,-44.2,-51.1
how_it_ends_up_hardcore_pop_MASTER_32f,48000,32,237.719979,-70.0,0.0,0.0,-1.399668,-11.592257,10.2,70.0,7.8,-7.37,-7.83,-9.37,-8.43,-8.06,1.3,0.4927,-0.3006,0.9461,0.6744,-0.6516,-3.0,2,2,0.0,-0.000209,-18.0,-17.4,-19.6,-20.0,-21.4,-25.4,-27.3,-26.5,-25.4,-36.4,-32.9,-36.6,-41.8,-49.1
I_ccan_Tell_Hardcore_Pop_2_MASTER_32f,48000,32,211.239979,-70.0,0.0,0.0,-1.397248,-11.404099,10.0,70.0,8.3,-8.04,-8.35,-9.60,-8.66,-8.46,1.1,0.7323,-0.7043,0.9978,0.8054,-0.6637,-3.0,2,2,0.0,-0.000006,-16.8,-15.6,-18.8,-23.2,-25.9,-28.4,-28.2,-28.0,-27.8,-37.3,-35.0,-37.9,-42.1,-48.9
Keine_Zeit_zu_Verlieren_MASTER_32f,48000,32,129.959979,-70.0,0.0,0.0,-1.409105,-12.217066,10.8,70.0,8.9,-7.43,-8.88,-9.70,-9.12,-8.96,0.7,0.7790,-0.3857,0.9928,0.8591,-0.3995,-3.0,2,2,0.0,-0.000023,-19.0,-17.5,-19.0,-22.5,-24.3,-26.3,-25.6,-25.2,-27.2,-38.6,-35.9,-39.1,-43.4,-50.2
Korper_in_Flammen___Hardcore_Pop_x_dr_Khans_MASTER_32f,48000,16,159.920000,-70.0,0.0,0.0,-12.590207,-25.832846,13.2,70.0,22.2,-21.30,-22.19,-24.11,-22.88,-22.34,1.8,0.6216,-0.6015,0.9853,0.7287,-0.8935,-3.0,2,2,0.0,-0.000001,-31.2,-32.0,-33.6,-35.7,-36.9,-38.9,-39.5,-41.0,-41.7,-51.6,-49.4,-52.4,-56.2,-62.0
Little_Planet_MASTER_32f,48000,32,357.880000,-70.0,0.0,0.0,-1.403492,-11.893144,10.5,70.0,8.3,-7.55,-8.28,-9.86,-8.84,-8.41,1.5,0.4552,-0.4206,0.9779,0.5526,-0.6159,-3.0,2,2,0.0,-0.000033,-19.0,-17.6,-19.1,-20.1,-21.1,-24.7,-27.2,-28.5,-29.4,-40.0,-37.0,-40.4,-45.1,-52.0
Love_Language_Hardcore_Pop_2_MASTER_32f,48000,32,267.599979,-70.0,0.0,0.0,-1.405552,-11.990019,10.6,70.0,8.7,-6.49,-8.65,-9.76,-9.07,-8.79,1.0,0.3624,-0.4657,0.9271,0.3575,-0.4932,-3.0,2,2,0.0,0.000076,-19.3,-18.1,-19.2,-19.1,-21.6,-25.6,-28.3,-27.9,-27.7,-40.3,-36.4,-40.5,-45.8,-53.1
Master_of_Boredom_MASTER_32f,48000,32,248.440000,-70.0,0.0,0.0,-1.407087,-11.307556,9.9,70.0,8.5,-8.00,-8.45,-9.35,-8.82,-8.57,0.8,0.6420,-0.3396,0.9925,0.8605,-0.5331,-3.0,2,2,0.0,0.000126,-16.1,-16.8,-19.4,-23.5,-24.7,-24.9,-24.5,-25.2,-27.3,-37.6,-35.2,-38.2,-42.3,-48.8
mit_der_Crew___MixAll_x_Hardcore_Pop_MASTER_32f,48000,16,154.880000,-70.0,0.0,0.0,-9.601740,-21.148490,11.5,70.0,17.7,-16.55,-17.68,-19.63,-18.57,-17.79,1.8,0.7539,-0.4021,0.9989,0.8551,-0.6284,-3.0,2,2,0.0,0.000002,-26.5,-26.6,-28.4,-32.3,-33.6,-35.0,-35.6,-36.6,-37.8,-48.7,-46.1,-49.4,-53.3,-59.1
mxll___rodjen_sam_u_getu26_05_MASTER_32f,48000,16,190.000000,-70.0,0.0,0.0,-13.072074,-25.829490,12.8,70.0,21.5,-20.48,-21.48,-22.53,-21.99,-21.64,0.9,0.5333,-0.2824,0.9717,0.7482,-0.3624,-3.0,2,2,0.0,0.000000,-35.3,-32.8,-33.0,-36.0,-35.3,-34.9,-35.6,-38.0,-40.0,-49.9,-48.1,-50.9,-54.3,-59.8
natti_ohne_signal_dr_khans_MASTER_32f,48000,32,185.039979,-70.0,0.0,0.0,-1.407989,-12.042081,10.6,70.0,8.4,-6.93,-8.45,-9.83,-9.12,-8.55,1.3,0.7309,-0.5550,0.9970,0.8040,-0.6730,-3.0,2,2,0.0,0.000005,-18.3,-17.9,-20.0,-21.7,-22.4,-24.0,-24.8,-26.1,-28.1,-39.3,-36.3,-39.7,-44.2,-51.1
NE_SALJI_MI_PPISMO_MASTER_32f,48000,32,281.439979,-70.0,0.0,0.0,-1.403339,-12.244129,10.8,70.0,8.3,-6.92,-8.31,-9.49,-8.68,-8.39,1.1,0.4857,-0.7305,0.9608,0.6473,-0.6864,-3.0,2,2,0.0,-0.000113,-19.7,-18.3,-20.2,-20.5,-20.4,-24.1,-26.8,-27.3,-28.6,-38.4,-36.3,-39.3,-42.9,-48.3
Osmi_Putnik_____Glasno_Glasnije_MASTER_32f,44100,16,174.706939,-70.0,0.0,0.0,-12.483561,-25.746357,13.3,70.0,20.2,-18.32,-20.24,-22.40,-21.08,-20.54,1.9,0.8258,0.0254,1.0000,0.8315,-0.1377,-3.0,2,2,0.0,0.000000,-38.7,-34.9,-35.4,-34.3,-31.3,-32.7,-36.2,-39.1,-42.1,-54.5,-50.5,-54.7,-61.5,-73.9
Overthinkk_Hardcore_Pop_2_MASTER_32f,48000,32,321.439979,-70.0,0.0,0.0,-1.408292,-11.773949,10.4,70.0,8.3,-8.13,-8.31,-9.52,-8.96,-8.71,0.8,0.7394,-0.1843,0.9991,0.8499,-0.2686,-3.0,2,2,0.0,0.000101,-17.3,-17.6,-19.2,-21.6,-23.7,-26.2,-26.8,-25.9,-26.1,-35.7,-33.1,-36.1,-40.5,-47.5
Pedal_to_the_Metal___Hardcore_Pop_MASTER_32f,48000,32,166.800000,-70.0,0.0,0.0,-3.884651,-15.875926,12.0,70.0,12.4,-11.84,-12.40,-13.85,-13.12,-12.53,1.3,0.7407,-0.1898,0.9977,0.8782,-0.5143,-3.0,2,2,0.0,0.000003,-21.7,-20.7,-23.4,-27.5,-28.3,-29.3,-29.7,-30.5,-31.4,-39.9,-38.5,-40.9,-44.2,-49.7
Phoneless_Hardcore_Pop_MASTER_32f,48000,32,196.959979,-70.0,0.0,0.0,-1.405369,-12.599755,11.2,70.0,8.7,-8.20,-8.71,-9.67,-9.11,-8.88,0.8,0.5226,-0.4590,0.9513,0.6473,-0.5375,-3.0,2,2,0.0,-0.000123,-20.6,-19.9,-20.7,-20.9,-20.6,-22.5,-25.9,-27.2,-25.8,-33.7,-31.8,-34.3,-38.3,-45.1
PIJANA_ME_CIMA_MASTER_32f,48000,32,142.160000,-70.0,0.0,0.0,-1.397512,-13.489258,12.1,70.0,8.5,-7.45,-8.55,-9.95,-9.00,-8.64,1.3,0.5772,-0.3195,0.9912,0.8032,-0.4260,-3.0,2,2,0.0,-0.000033,-21.9,-21.2,-22.3,-23.5,-23.4,-22.8,-22.6,-24.0,-25.4,-36.3,-33.6,-37.0,-41.1,-47.0
Prayer_to_Thoth_Hardcore_Pop_1__Remastered_MASTER_32f,48000,16,380.520000,-70.0,0.0,0.0,-12.870273,-25.331024,12.5,70.0,22.4,-21.73,-22.39,-24.48,-23.02,-22.54,1.9,0.6448,-0.6387,0.9973,0.7020,-0.8604,-3.0,2,2,0.0,-0.000000,-29.5,-30.4,-34.1,-36.5,-38.1,-40.8,-42.1,-44.3,-46.7,-56.5,-54.4,-57.4,-61.0,-66.5
Real_Love_x_Posh_Princess_MASTER_32f,48000,32,274.360000,-70.0,0.0,0.0,-1.406926,-13.535168,12.1,70.0,8.6,-7.15,-8.58,-9.76,-9.05,-8.78,1.0,0.7805,0.0276,1.0000,0.8752,-0.4437,-3.0,2,2,0.0,-0.000003,-21.2,-20.0,-22.6,-25.6,-25.3,-25.2,-25.0,-23.1,-22.4,-32.6,-29.5,-32.9,-37.8,-45.0
Sieh_zu_Ex_Hardcore_Pop_x_dr_Khans_MASTER_32f,48000,32,131.640000,-70.0,0.0,0.0,-1.397424,-12.217773,10.8,70.0,8.6,-6.89,-8.55,-9.77,-9.12,-8.78,1.0,0.7248,-0.3364,0.9933,0.7861,-0.4294,-3.0,2,2,0.0,-0.000075,-18.2,-18.4,-19.9,-22.3,-23.5,-25.6,-26.3,-25.0,-24.7,-34.8,-32.3,-35.3,-39.6,-46.4
Slap_MASTER_32f,48000,32,187.280000,-70.0,0.0,0.0,-1.409493,-11.770719,10.4,70.0,8.3,-7.75,-8.27,-9.86,-9.11,-8.47,1.4,0.6517,-0.2308,0.9903,0.7447,-0.8078,-3.0,2,2,0.0,0.000007,-17.4,-17.0,-19.3,-23.3,-23.5,-24.7,-25.8,-26.7,-27.9,-38.1,-35.6,-38.6,-42.8,-49.6
Tequila_Shots___Hardcore_Pop_MASTER_32f,48000,16,213.880000,-70.0,0.0,0.0,-12.557513,-24.373172,11.8,70.0,21.1,-20.75,-21.13,-22.27,-21.81,-21.34,0.9,0.5551,-0.3546,0.9718,0.7186,-0.4786,-3.0,2,2,0.0,0.000002,-29.7,-29.2,-32.5,-36.7,-37.4,-38.0,-37.2,-39.3,-42.1,-51.9,-49.9,-52.7,-56.5,-62.6
